model,ngày,chi_phí_không_tối_ưu,chi_phí_lý_tưởng,chi_phí_theo_dự_báo,đỉnh_gốc_kWh,đỉnh_sau_tối_ưu_kWh,pk_không_tối_ưu,pk_lý_tưởng,pk_theo_dự_báo
Hybrid 24h (Model B),2018-12-07,6255226.0,5260586.5,5260586.5,72.11,131.5602493519231,14908426.0,11317826.500000006,11317826.5
Hybrid 24h (Model B),2018-12-08,3348915.0,2863548.3,2863548.3,55.69,131.7415178374826,10031715.0,7541508.300000002,7541508.3
Hybrid 24h (Model B),2018-12-09,553101.0,499364.1,499364.1,4.18,104.213,1054701.0,977442.5000000012,2862027.1809458295
Hybrid 24h (Model B),2018-12-10,5616064.0,4748212.6,4748212.6,72.9,122.90257980791552,14364064.0,10871812.600000013,10871812.6
Hybrid 24h (Model B),2018-12-11,7442225.0,6266233.999999999,6266233.999999999,84.24,149.18,17551025.0,13342393.999999998,13342394.0
Hybrid 24h (Model B),2018-12-12,7595226.0,6397744.799999999,6397744.8,86.51,149.18,17976426.0,13664584.800000023,13664584.8
Hybrid 24h (Model B),2018-12-13,7819182.0,6564885.899999999,6564885.899999999,105.37,149.18,20463582.0,15415965.900000008,15415965.9
Hybrid 24h (Model B),2018-12-14,9345945.0,7904949.3,7904949.3,134.5,149.18,25485945.0,19202949.300000053,19202949.299999997
Hybrid 24h (Model B),2018-12-15,697687.0,607550.5,607550.5,5.36,85.22957964084888,1340887.0,1147976.7473684223,4663737.854220169
Hybrid 24h (Model B),2018-12-16,3560175.0,3156960.3,3156960.3,72.18,149.18,12221775.0,9220080.3,9408159.808881694
Hybrid 24h (Model B),2018-12-17,4968232.0,4206772.0,4206772.0,85.86,104.2550624494147,15271432.0,11419012.000000015,11419012.0
Hybrid 24h (Model B),2018-12-18,6929428.0,5866656.399999999,5866656.4,127.58,149.18,22239028.0,16583376.400000008,16583376.4
Hybrid 24h (Model B),2018-12-19,7571476.0,6440826.699999999,6440826.699999999,149.18,149.18,25473076.0,18971946.700000003,18971946.7
