horizon,variant,model,best_epoch,MAE,RMSE,MAPE_%,sMAPE_%,R2,MASE
15min,A,LSTM,20,3.5902851194303524,8.350786808336855,20.845158559546682,18.742530443702158,0.9044517271197399,0.21905742943970638
15min,B,LSTM,23,3.8700655452025834,8.463268151138296,26.050271393786524,25.695723247789342,0.9018604073810426,0.23612793466101195
1h,A,LSTM,26,6.078889535119136,13.471981107442488,36.838667458407606,37.62871225698958,0.7513256574276269,0.3708969820264331
1h,B,LSTM,32,7.623710685905309,14.799654384810953,53.14494305449138,58.6727305308387,0.6998964069344384,0.4651526021174081
24h,A,LSTM,20,10.626358765027215,18.39982933416467,109.73165768047008,73.25444956969591,0.5361306925656957,0.6483559823071346
24h,B,LSTM,26,8.749498595213216,16.046335150275358,68.87240282800036,59.898136336095554,0.6472071572485675,0.533841354487699
