horizon,variant,model,threshold_kWh,classifier_accuracy,MAE,RMSE,MAPE_%,sMAPE_%,R2,MASE
15min,A,Hybrid 2 tầng,19.14,0.9899,2.6900152209561354,6.330959857846922,11.700032043384837,10.179764599879535,0.9450829539542619,0.16412841395001143
15min,B,Hybrid 2 tầng,20.0,0.9899,2.7057909195493623,6.360143295491121,11.708634724066467,10.172811644873606,0.9445754915518424,0.16509095139920082
1h,A,Hybrid 2 tầng,19.14,0.9661,4.52189709546425,10.189329631547997,38.88906414418985,19.614266991828284,0.8577477077134033,0.27589873564355305
1h,B,Hybrid 2 tầng,20.0,0.9674,4.359272546226619,10.00438428245429,34.498918935814,18.349653082615774,0.8628648519991999,0.26597637196033913
24h,A,Hybrid 2 tầng,12.76,0.8733,10.018345759764154,19.189819825256276,146.19415752453435,38.01926029799568,0.4954434559064783,0.6112586974018931
24h,B,Hybrid 2 tầng,20.0,0.9392,6.977466679740977,14.464702554241855,63.22228748502512,26.962913732638334,0.7133268200209305,0.42572269874662283
