horizon,model,MAE_A,MAE_B,cải_thiện_kWh,cải_thiện_%
15min,Linear Regression,5.514827868857134,5.674727913865627,-0.15990004500849242,-2.8994566795360255
15min,Random Forest,2.8741822843859013,2.9126286548509097,-0.03844637046500843,-1.3376455165655192
15min,XGBoost,2.9284590756700886,2.82031754011108,0.10814153555900852,3.6927794708643358
1h,Linear Regression,9.921866589936938,10.180889603815537,-0.2590230138785987,-2.610627864532142
1h,Random Forest,4.706917645325558,4.659237120619911,0.04768052470564754,1.0129882929436653
1h,XGBoost,4.696020141647708,4.658656782062463,0.03736335958524428,0.7956388273099374
24h,Linear Regression,12.249280540244834,11.934563514958437,0.3147170252863969,2.569269470581547
24h,Random Forest,10.871343379299464,11.32127546355456,-0.4499320842550958,-4.13869812181472
24h,XGBoost,9.121943300669832,7.050262481844233,2.071680818825599,22.71095917328793
